Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobStability,IncomePerYearWorked,PromotionWaitTime,AgeGroup,OvertimeImpact,YearsLeftForRetirement,PromotionFrequency,DistanceEffect,OvertimePayRatio,WorkLifeBalanceImpact,YearsInRoleVsYearsAtCompany,JobSatisfactionPerformance,RelativeIncomeToDeptAvg,PerformancePerSatisfaction,SatisfactionPerformanceRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,MaritalStatus_Married,MaritalStatus_Single,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Attrition
26,1443,23,3,3,1,47,2,2,4,4157,21436,7,1,19,3,3,80,1,5,2,2,2,2,0,0,0.7142857142857143,2078.5,2,0.0,True,34,2.0,33189,0.0002405580947798,2,1.0,12,-2802.17264573991,0.75,1.3333333333333333,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33,515,1,2,1,1,98,3,3,4,13458,15146,1,1,12,3,3,80,0,15,1,3,15,14,8,12,15.0,897.2,7,0.0,False,27,1.6666666666666667,515,7.43052459503641e-05,3,0.9333333333333332,12,7176.747138397503,0.75,1.3333333333333333,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
35,853,18,5,2,0,71,3,3,1,9069,11031,1,0,22,4,4,80,1,9,3,2,9,8,1,8,9.0,1007.6666666666666,8,0.0,False,25,4.5,15354,0.0,0,0.8888888888888888,4,2109.82735426009,4.0,0.25,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35,1142,23,4,3,1,30,3,1,1,4014,16002,3,1,15,3,3,80,1,4,3,3,2,2,2,2,1.3333333333333333,2007.0,0,0.0,True,25,0.6666666666666666,26266,0.0002491280518186,3,1.0,3,-2267.252861602497,3.0,0.3333333333333333,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
31,655,7,4,4,0,48,3,2,4,5915,9528,3,0,22,4,4,80,1,10,3,2,7,7,1,7,3.333333333333333,845.0,6,0.0,False,29,3.5,4585,0.0,0,1.0,16,-366.25286160249743,1.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,1115,1,4,1,0,51,2,2,3,5993,2689,1,0,18,3,3,80,1,7,2,4,7,5,0,7,7.0,856.1428571428571,7,0.0,False,23,7.0,1115,0.0,0,0.7142857142857143,9,-288.25286160249743,1.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,427,1,3,1,0,33,3,2,4,6162,10877,1,1,22,4,2,80,1,9,3,3,9,8,7,8,9.0,684.6666666666666,2,0.0,False,28,1.125,427,0.0001622849724115,3,0.8888888888888888,16,-119.25286160249745,1.0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
38,653,29,5,4,1,50,3,2,4,2406,5456,1,0,11,3,4,80,0,10,2,3,10,3,9,9,10.0,240.6,1,0.0,False,22,1.0,18937,0.0,0,0.3,12,-3875.2528616024974,0.75,1.3333333333333333,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
50,989,7,2,2,1,43,2,5,3,18740,16701,5,1,12,3,4,80,1,29,2,2,27,3,13,8,5.8,694.074074074074,14,0.0,False,10,1.9285714285714288,6923,5.336179295624333e-05,2,0.1111111111111111,9,12458.747138397504,1.0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,1435,25,3,1,1,99,3,3,1,7637,2354,7,0,11,3,4,80,0,28,3,2,21,16,7,9,4.0,363.6666666666667,14,0.0,False,1,2.625,35875,0.0,0,0.7619047619047619,3,677.82735426009,3.0,0.3333333333333333,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36,1223,8,3,3,1,59,3,3,3,10096,8202,1,0,13,3,2,80,3,17,2,3,17,14,12,8,17.0,593.8823529411765,5,0.0,False,24,1.3076923076923077,9784,0.0,0,0.8235294117647058,9,3814.747138397503,1.0,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,836,8,3,4,1,33,3,4,3,14756,19730,2,1,14,3,3,80,3,21,2,3,5,0,0,2,10.5,2951.2,5,0.0,False,5,5.0,6688,6.77690431011114e-05,3,0.0,9,8474.747138397503,1.0,1.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36,1195,11,3,2,0,95,2,2,2,6499,22656,1,0,13,3,3,80,0,6,3,3,6,5,0,3,6.0,1083.1666666666667,6,0.0,False,24,6.0,13145,0.0,0,0.8333333333333334,6,217.74713839750257,1.5,0.6666666666666666,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
45,1339,7,3,2,0,59,3,3,1,9724,18787,2,0,17,3,3,80,1,25,2,3,1,0,0,0,12.5,9724.0,1,0.0,False,15,1.0,9373,0.0,0,0.0,3,3442.7471383975026,3.0,0.3333333333333333,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,664,1,3,2,0,79,3,1,1,2194,5868,4,0,13,3,4,80,1,5,2,2,3,2,1,2,1.25,731.3333333333334,2,0.0,False,25,1.5,664,0.0,0,0.6666666666666666,3,-4087.2528616024974,3.0,0.3333333333333333,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
36,318,9,3,4,0,79,2,1,3,3388,21777,1,1,17,3,1,80,1,2,0,2,1,0,0,0,2.0,3388.0,1,0.0,False,24,1.0,2862,0.0002951593860684,2,0.0,9,-2893.252861602497,1.0,1.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
59,1225,1,1,1,1,57,2,2,3,5473,24668,7,0,11,3,4,80,0,20,2,2,4,3,1,3,2.857142857142857,1368.25,3,0.0,False,1,2.0,1225,0.0,0,0.75,9,-1486.17264573991,1.0,1.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
29,1328,2,3,3,0,76,3,1,2,2703,4956,1,0,23,4,4,80,1,6,3,3,5,4,0,4,6.0,540.6,5,0.0,False,31,5.0,2656,0.0,0,0.8,8,-3578.252861602497,2.0,0.5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31,1082,1,4,3,0,87,3,1,2,2501,18775,1,0,17,3,2,80,0,1,4,3,1,1,1,0,1.0,2501.0,0,0.0,False,29,0.5,1082,0.0,0,1.0,6,-3780.2528616024974,1.5,0.6666666666666666,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
32,548,1,3,2,0,66,3,2,2,6220,7346,1,0,17,3,2,80,2,10,3,3,10,4,0,9,10.0,622.0,10,0.0,False,28,10.0,548,0.0,0,0.4,6,-61.25286160249743,1.5,0.6666666666666666,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
36,132,6,3,2,1,55,4,1,4,3038,22002,3,0,12,3,2,80,0,5,3,3,1,0,0,0,1.6666666666666667,3038.0,1,0.0,False,24,1.0,792,0.0,0,0.0,12,-3243.252861602497,0.75,1.3333333333333333,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
31,746,8,4,3,1,61,3,2,4,4424,20682,1,0,23,4,4,80,0,11,2,3,11,7,1,8,11.0,402.1818181818182,10,0.0,False,29,5.5,5968,0.0,0,0.6363636363636364,16,-1857.2528616024968,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
35,776,1,4,3,0,32,2,2,1,4312,23016,1,0,14,3,2,80,0,16,2,3,15,13,2,8,16.0,287.46666666666664,13,0.0,False,25,5.0,776,0.0,0,0.8666666666666667,3,-2647.17264573991,3.0,0.3333333333333333,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45,193,6,4,4,0,52,3,3,1,13245,15067,4,1,14,3,2,80,0,17,3,4,0,0,0,0,4.25,13245.0,0,0.0,False,15,0.0,1158,7.550018875047188e-05,4,0.0,3,6963.747138397503,3.0,0.3333333333333333,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
37,397,7,4,1,0,30,3,3,3,13664,25258,4,0,13,3,1,80,0,16,3,4,5,2,0,2,4.0,2732.8,5,0.0,False,23,5.0,2779,0.0,0,0.4,9,7382.747138397503,1.0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
46,945,5,2,2,0,80,3,2,2,5021,10425,8,1,22,4,4,80,1,16,2,3,4,2,0,2,2.0,1255.25,4,0.0,False,14,4.0,4725,0.0001991635132443,3,0.5,8,-1633.5079365079364,2.0,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
30,852,1,1,4,0,55,2,2,4,5126,15998,1,1,12,3,3,80,2,10,1,2,10,8,3,0,10.0,512.6,7,0.0,False,30,2.5,852,0.000195083886071,2,0.8,12,-1155.2528616024974,0.75,1.3333333333333333,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
